tracking_id,E14J B1,,,,,
1700012L04Rik,0.0297971,,,,,
1700012P22Rik,0,,,,,
1700013D24Rik,0,,,,,
1700013F07Rik,0,,,,,
1700013G23Rik,0,,,,,
1700013G24Rik,0,,,,,
1700013H16Rik,0.0744184,,,,,
1700015E13Rik,0,,,,,
1700015F17Rik,0,,,,,
1700015G11Rik,0,,,,,
1700016C15Rik,0,,,,,
1700016D06Rik,0,,,,,
1700016G22Rik,0,,,,,
1700016H13Rik,0.0652799,,,,,
1700016K19Rik,0.583175,,,,,
1700016L04Rik,0.0538463,,,,,
1700016L21Rik,0,,,,,
1700016P04Rik,0,,,,,
1700017B05Rik,8.13692,,,,,
1700017D01Rik,0,,,,,
1700017G19Rik,0,,,,,
1700017J07Rik,0.143092,,,,,
1700017N19Rik,0,,,,,
1700018A04Rik,0,,,,,
1700018B08Rik,0.0867039,,,,,
1700018B24Rik,0.0717481,,,,,
1700018C11Rik,0,,,,,
1700018F24Rik,0.0207483,,,,,
1700018G05Rik,0,,,,,
1700018L02Rik,0,,,,,
1700019A02Rik,3.06653,,,,,
1700019B03Rik,0,,,,,
1700019B21Rik,0,,,,,
1700019D03Rik,31.3678,,,,,
1700019E08Rik,0.177007,,,,,
1700019G17Rik,1.18736,,,,,
1700019G24Rik,0,,,,,
1700019L03Rik,0,,,,,
1700019M22Rik,0,,,,,
1700019N19Rik,0,,,,,
1700019O17Rik,0,,,,,
1700020A23Rik,0,,,,,
1700020D05Rik,0.139835,,,,,
1700020G17Rik,0,,,,,
1700020I14Rik,16.2776,,,,,
1700020L24Rik,0.679677,,,,,
1700020M21Rik,0,,,,,
1700020N01Rik,0.842028,,,,,
1700020N15Rik,0.558945,,,,,
1700020N18Rik,0.11146,,,,,
1700021F05Rik,31.6642,,,,,
1700021F07Rik,0.0872777,,,,,
1700021K19Rik,3.55838,,,,,
1700021N21Rik,0.108465,,,,,
1700022A21Rik,0,,,,,
1700022A22Rik,0,,,,,
1700022E09Rik,0,,,,,
1700022H16Rik,0,,,,,
1700022I11Rik,0,,,,,
1700022P22Rik,5.83688,,,,,
1700023A16Rik,0,,,,,
1700023C21Rik,0,,,,,
1700023E05Rik,0.0500434,,,,,
1700023F02Rik,0,,,,,
1700023F06Rik,1.19293,,,,,
1700023L04Rik,0.419912,,,,,
1700024B18Rik,0,,,,,
1700024F13Rik,0.409898,,,,,
1700024G13Rik,0,,,,,
1700024P03Rik,0.0489655,,,,,
1700024P04Rik,0,,,,,
1700024P16Rik,0.0516543,,,,,
1700025B11Rik,0,,,,,
1700025C18Rik,0,,,,,
1700025E21Rik,0.166986,,,,,
1700025F22Rik,0,,,,,
1700025F24Rik,0.110203,,,,,
1700025G04Rik,0.966526,,,,,
1700025K24Rik,0,,,,,
1700025M24Rik,0,,,,,
1700025N23Rik,0,,,,,
1700026D08Rik,0.0696228,,,,,
1700026D11Rik,0,,,,,
1700026F02Rik,0,,,,,
1700026L06Rik,0.163252,,,,,
1700027A15Rik,0,,,,,
1700027F09Rik,0,,,,,
1700027H10Rik,0,,,,,
1700027I24Rik,0,,,,,
1700027J07Rik,0,,,,,
1700028B04Rik,1.64761,,,,,
1700028D13Rik,0,,,,,
1700028E10Rik,0.0996079,,,,,
1700028I16Rik,0.0445785,,,,,
1700028J19Rik,0.23169,,,,,
1700028K03Rik,0,,,,,
1700028M03Rik,0,,,,,
1700028P14Rik,0,,,,,
1700028P15Rik,0,,,,,
1700029B22Rik,0,,,,,
1700029F12Rik,0,,,,,
1700029H14Rik,0.0680565,,,,,
1700029I15Rik,0,,,,,
1700029J03Rik,0,,,,,
1700029J07Rik,0.0298661,,,,,
1700029M20Rik,0.0431956,,,,,
1700029N11Rik,0,,,,,
1700029P11Rik,11.1646,,,,,
1700030A11Rik,0,,,,,
1700030C10Rik,9.07786,,,,,
1700030F04Rik,0,,,,,
1700030F18Rik,0,,,,,
1700030J22Rik,1.10846,,,,,
1700030K09Rik,0,,,,,
1700030L20Rik,0,,,,,
1700030M09Rik,0.200006,,,,,
1700030N03Rik,0,,,,,
1700030O20Rik,0,,,,,
1700031A10Rik,0.253071,,,,,
1700031F05Rik,0,,,,,
1700031M16Rik,0,,,,,
1700031P21Rik,0,,,,,
1700034E13Rik,0,,,,,
1700034F02Rik,0,,,,,
1700034G24Rik,0,,,,,
1700034H15Rik,0,,,,,
1700034I23Rik,0,,,,,
1700034J05Rik,0.0207229,,,,,
1700034K08Rik,0.0923958,,,,,
1700034O15Rik,0,,,,,
1700034P13Rik,0,,,,,
1700036G14Rik,0,,,,,
1700037C18Rik,1.02056,,,,,
1700037H04Rik,36.0114,,,,,
1700039E15Rik,0,,,,,
1700039E22Rik,0,,,,,
1700040L02Rik,0,,,,,
1700040N02Rik,0,,,,,
1700041C23Rik,0,,,,,
1700041M19Rik,0,,,,,
1700042B14Rik,0,,,,,
1700042G07Rik,0,,,,,
1700042G15Rik,0,,,,,
1700042O10Rik,0.130806,,,,,
1700044C05Rik,0,,,,,
1700044K03Rik,0,,,,,
1700045H11Rik,0,,,,,
1700045I19Rik,0,,,,,
1700046C09Rik,0,,,,,
1700047E10Rik,0,,,,,
1700047G03Rik,0,,,,,
1700047I17Rik2,1.1917,,,,,
1700047I17Rik2,1.1917,,,,,
1700047L14Rik,0,,,,,
1700047M11Rik,0,,,,,
1700048M11Rik,0,,,,,
1700048O20Rik,0.0922153,,,,,
1700049E15Rik,0,,,,,
1700049E22Rik,0.379072,,,,,
1700049G17Rik,0.548725,,,,,
1700049L16Rik,0,,,,,
1700051A21Rik,0.0328745,,,,,
1700052I22Rik,0,,,,,
1700052K11Rik,1.08028,,,,,
1700052N19Rik,17.0888,,,,,
1700054A03Rik,0,,,,,
1700054K19Rik,0,,,,,
1700054M17Rik,0,,,,,
1700054O13Rik,0,,,,,
1700055C04Rik,0,,,,,
1700055N04Rik,0.0527761,,,,,
1700056E22Rik,0.199216,,,,,
1700057G04Rik,0,,,,,
1700057H15Rik,0.0489655,,,,,
1700058G18Rik,0,,,,,
1700060C16Rik,0,,,,,
1700060C20Rik,0,,,,,
1700061F12Rik,0,,,,,
1700061G19Rik,3.8197,,,,,
1700061I17Rik,0,,,,,
1700063A18Rik,0,,,,,
1700063D05Rik,0.0754379,,,,,
1700063O14Rik,0,,,,,
1700064J06Rik,0,,,,,
1700064M15Rik,0,,,,,
1700065D16Rik,0,,,,,
1700065I16Rik,0,,,,,
1700065I17Rik,0,,,,,
1700065J11Rik,0,,,,,
1700065J18Rik,0,,,,,
1700065O20Rik,0,,,,,
1700066B17Rik,0,,,,,
1700066B19Rik,0.0329356,,,,,
1700066J24Rik,0.302674,,,,,
1700066M21Rik,2.01279,,,,,
1700066N21Rik,0,,,,,
1700066O22Rik,0,,,,,
1700067G17Rik,0,,,,,
1700067K01Rik,0.388386,,,,,
1700067P10Rik,0,,,,,
1700069L16Rik,0,,,,,
1700069P05Rik,0,,,,,
1700071K01Rik,0.0531358,,,,,
1700071M16Rik,0,,,,,
1700072B07Rik,0,,,,,
1700072O05Rik,0,,,,,
1700073E17Rik,0,,,,,
1700074H08Rik,0,,,,,
1700074P13Rik,0,,,,,
1700080E11Rik,0,,,,,
1700080N15Rik,0,,,,,
1700080O16Rik,0,,,,,
1700081H04Rik,0,,,,,
1700081H22Rik,0,,,,,
1700084C01Rik,0.214808,,,,,
1700084E18Rik,0.334247,,,,,
1700084F23Rik,0,,,,,
1700084J12Rik,16.6574,,,,,
1700085B03Rik,0,,,,,
1700085C21Rik,0,,,,,
1700086L19Rik,0,,,,,
1700086O06Rik,0,,,,,
1700088E04Rik,0,,,,,
1700091E21Rik,0,,,,,
1700091H14Rik,0.0320389,,,,,
1700092C02Rik,0,,,,,
1700092C10Rik,0.104672,,,,,
1700092E19Rik,0,,,,,
1700092K14Rik,0,,,,,
1700092M07Rik,1.09609,,,,,
1700093K21Rik,0.0476093,,,,,
1700094D03Rik,0.536604,,,,,
1700094J05Rik,0,,,,,
1700094M24Rik,0,,,,,
1700095A21Rik,0.171232,,,,,
1700095B10Rik,0,,,,,
1700095B22Rik,0,,,,,
1700096J18Rik,0.153551,,,,,
1700096K18Rik,0.426502,,,,,
1700097N02Rik,7.79313,,,,,
1700100L14Rik,0,,,,,
1700101E01Rik,1.04566,,,,,
1700101I11Rik,0,,,,,
1700101O22Rik,0,,,,,
1700102H20Rik,1.55669,,,,,
1700102P08Rik,0.722082,,,,,
1700104A03Rik,0,,,,,
1700105P06Rik,0,,,,,
1700106J16Rik,0.0747863,,,,,
1700108F19Rik,0.286358,,,,,
1700108J01Rik,0,,,,,
1700109F18Rik,0,,,,,
1700109G14Rik,0.0640634,,,,,
1700109G15Rik,0.428601,,,,,
1700109H08Rik,0,,,,,
1700109I08Rik,0,,,,,
1700110C19Rik,0.220593,,,,,
1700110I01Rik,0.014762,,,,,
1700110I01Rik,0.014762,,,,,
1700110I01Rik,0.014762,,,,,
1700110K17Rik,0,,,,,
1700110M21Rik,0,,,,,
1700111N16Rik,0,,,,,
1700112E06Rik,0,,,,,
1700112H15Rik,0,,,,,
1700112J05Rik,0,,,,,
1700113A16Rik,2.4388,,,,,
1700113H08Rik,0,,,,,
1700119H24Rik,0.0999679,,,,,
1700120C14Rik,0,,,,,
1700120E14Rik,0,,,,,
1700120G07Rik,0,,,,,
1700120K04Rik,0.112789,,,,,
1700121L16Rik,0,,,,,
1700121N20Rik,0.0461002,,,,,
1700122O11Rik,0,,,,,
1700123I01Rik,0.484364,,,,,
1700123K08Rik,0,,,,,
1700123L14Rik,0,,,,,
1700123M08Rik,0.528709,,,,,
1700123O12Rik,0,,,,,
1700123O20Rik,0,,,,,
1700123O21Rik,0,,,,,
1700125G02Rik,0,,,,,
1700125G22Rik,0,,,,,
1700125H03Rik,0,,,,,
1700125H20Rik,0,,,,,
1700126H18Rik,0,,,,,
1700128A07Rik,0,,,,,
1700128F08Rik,0.0419105,,,,,
1700129C05Rik,0,,,,,
1810006J02Rik,0,,,,,
1810007C17Rik,0,,,,,
1810007D17Rik,0.283113,,,,,
1810007I06Rik,0.151467,,,,,
1810008I18Rik,0,,,,,
1810009A15Rik,234.909,,,,,
1810009J06Rik,0,,,,,
1810010D01Rik,0,,,,,
1810010H24Rik,0.678844,,,,,
1810011H11Rik,0,,,,,
1810011O10Rik,0.302982,,,,,
1810012K16Rik,0,,,,,
1810013A23Rik,0,,,,,
1810013D10Rik,14.4414,,,,,
1810013L24Rik,15.5707,,,,,
1810014B01Rik,2.50353,,,,,
1810018F18Rik,0,,,,,
1810019D21Rik,0,,,,,
1810019J16Rik,2.34771,,,,,
1810020O05Rik,0.0450565,,,,,
1810021B22Rik,0,,,,,
1810022K09Rik,126.937,,,,,
1810024B03Rik,0.107197,,,,,
1810026B05Rik,0,,,,,
1810026J23Rik,12.7827,,,,,
1810030O07Rik,9.90438,,,,,
1810032O08Rik,24.482,,,,,
1810033B17Rik,0.0818259,,,,,
1810034E14Rik,0,,,,,
1810035I16Rik,0,,,,,
1810037I17Rik,82.3459,,,,,
1810041L15Rik,0.0794801,,,,,
1810043G02Rik,1.98185,,,,,
1810043H04Rik,26.9475,,,,,
1810044D09Rik,4.34858,,,,,
1810046K07Rik,0,,,,,
1810053B23Rik,0,,,,,
1810055G02Rik,11.9252,,,,,
1810058I24Rik,33.9812,,,,,
1810062G17Rik,0.107539,,,,,
1810062O18Rik,0,,,,,
1810064F22Rik,0,,,,,
1810065E05Rik,0,,,,,
2010001E11Rik,0.0273059,,,,,
2010001M06Rik,0,,,,,
2010002M12Rik,0,,,,,
2010003K11Rik,0,,,,,
2010003O02Rik,0,,,,,
2010005H15Rik,0,,,,,
2010009K17Rik,0,,,,,
2010010A06Rik,0.389157,,,,,
2010012O05Rik,1.5946,,,,,
2010015L04Rik,2.42567,,,,,
2010016I18Rik,0,,,,,
2010106C02Rik,0,,,,,
2010106E10Rik,0,,,,,
2010107E04Rik,273.569,,,,,
2010107G12Rik,0.252062,,,,,
2010107G23Rik,5.43658,,,,,
2010109A12Rik,0.111132,,,,,
2010109I03Rik,0,,,,,
2010111I01Rik,2.10763,,,,,
2010204K13Rik,50.7621,,,,,
2010300C02Rik,0.0637332,,,,,
2010308F09Rik,0,,,,,
2010310C07Rik,0,,,,,
2010315B03Rik,0.282049,,,,,
2010320M18Rik,6.19371,,,,,
2200002D01Rik,0,,,,,
2200002J24Rik,0.0940036,,,,,
2210010C04Rik,0,,,,,
2210013O21Rik,13.183,,,,,
2210015D19Rik,1.0927,,,,,
2210016F16Rik,7.05874,,,,,
2210016L21Rik,25.0903,,,,,
2210018M11Rik,10.511,,,,,
2210019I11Rik,0,,,,,
2210039B01Rik,0,,,,,
2210404J11Rik,3.24652,,,,,
2210404O07Rik,1.13258,,,,,
2210404O09Rik,3.33705,,,,,
2210407C18Rik,0,,,,,
2210408F21Rik,0,,,,,
2210408I21Rik,2.37565,,,,,
2210409D07Rik,0,,,,,
2210409E12Rik,6.58005,,,,,
2210414B05Rik,0,,,,,
2210416O15Rik,0,,,,,
2210417A02Rik,0,,,,,
2210417K05Rik,0,,,,,
2210420H20Rik,0,,,,,
2300002M23Rik,0.0363507,,,,,
2300003K06Rik,0,,,,,
2300005B03Rik,0,,,,,
2300009A05Rik,1.93788,,,,,
2310001H17Rik,0,,,,,
2310001K24Rik,0,,,,,
2310002D06Rik,0,,,,,
2310002F09Rik,0.0161169,,,,,
2310002J15Rik,0.659632,,,,,
2310002L09Rik,0,,,,,
2310003H01Rik,5.32693,,,,,
2310005A03Rik,0,,,,,
2310005E17Rik,0.0386545,,,,,
2310005G13Rik,0.0132252,,,,,
2310007B03Rik,0,,,,,
2310007L24Rik,0,,,,,
2310008H04Rik,11.9638,,,,,
2310008H09Rik,39.3022,,,,,
2310008N11Rik,0,,,,,
2310009A05Rik,18.7565,,,,,
2310009B15Rik,6.14165,,,,,
2310010J17Rik,1.98434,,,,,
2310010M20Rik,0.0407985,,,,,
2310011J03Rik,20.8449,,,,,
2310014F07Rik,0,,,,,
2310014L17Rik,0.449093,,,,,
2310015A10Rik,0.260943,,,,,
2310015B20Rik,0,,,,,
2310015D24Rik,0,,,,,
2310016D03Rik,0,,,,,
2310020H05Rik,0,,,,,
2310022A10Rik,24.7669,,,,,
2310022B05Rik,7.47927,,,,,
2310030A07Rik,0.0940036,,,,,
2310030G06Rik,1.7184,,,,,
2310033P09Rik,17.658,,,,,
2310034C09Rik,0,,,,,
2310034G01Rik,0.782009,,,,,
2310034O05Rik,0,,,,,
2310035C23Rik,7.54358,,,,,
2310036O22Rik,156.946,,,,,
2310039H08Rik,7.22484,,,,,
2310039L15Rik,0.696613,,,,,
2310040G24Rik,3.1688,,,,,
2310042D19Rik,0.114455,,,,,
2310042E22Rik,0.105209,,,,,
2310043L19Rik,0,,,,,
2310043O21Rik,0,,,,,
2310044G17Rik,7.96473,,,,,
2310045N01Rik,22.2684,,,,,
2310047M10Rik,3.24951,,,,,
2310050B05Rik,0,,,,,
2310050C09Rik,0,,,,,
2310057J18Rik,0,,,,,
2310057M21Rik,8.85863,,,,,
2310057N15Rik,0,,,,,
2310061I04Rik,20.5508,,,,,
2310061J03Rik,0,,,,,
2310061N02Rik,0,,,,,
2310065F04Rik,0,,,,,
2310067B10Rik,6.94173,,,,,
2310068J16Rik,0,,,,,
2310069B03Rik,0,,,,,
2310069G16Rik,0.693584,,,,,
2310079G19Rik,0,,,,,
2310081J21Rik,0,,,,,
2310081J21Rik,0,,,,,
2410002F23Rik,33.7849,,,,,
2410003L11Rik,39.0991,,,,,
2410004B18Rik,27.2544,,,,,
2410004I01Rik,0.405372,,,,,
2410004N09Rik,71.3426,,,,,
2410004P03Rik,0.475574,,,,,
2410006H16Rik,215.152,,,,,
2410007B07Rik,63.5396,,,,,
2410012E07Rik,0,,,,,
2410012M07Rik,5.89723,,,,,
2410015M20Rik,100.743,,,,,
2410016O06Rik,16.3936,,,,,
2410017I17Rik,0,,,,,
2410018L13Rik,2.018,,,,,
2410018M08Rik,39.7201,,,,,
2410021H03Rik,0.545795,,,,,
2410057H14Rik,0,,,,,
2410066E13Rik,1.83753,,,,,
2410076I21Rik,0,,,,,
2410088K16Rik,2.32582,,,,,
2410089E03Rik,3.00709,,,,,
2410114N07Rik,0.203504,,,,,
2410124H12Rik,0.456268,,,,,
2410127L17Rik,35.6239,,,,,
2410131K14Rik,6.48089,,,,,
2410137F16Rik,0.120036,,,,,
2410137M14Rik,1.03559,,,,,
2410141K09Rik,16.6141,,,,,
2500004C02Rik,0.268462,,,,,
2510002D24Rik,5.1686,,,,,
2510003D18Rik,0,,,,,
2510003E04Rik,15.3311,,,,,
2510009E07Rik,0,,,,,
2510039O18Rik,15.9754,,,,,
2510049J12Rik,0.0973233,,,,,
2600006L11Rik,0,,,,,
2610001J05Rik,8.5809,,,,,
2610002J02Rik,13.6011,,,,,
2610002M06Rik,2.30917,,,,,
2610005L07Rik,13.4561,,,,,
2610008E11Rik,1.8149,,,,,
2610015P09Rik,4.40308,,,,,
2610016A17Rik,0,,,,,
2610017I09Rik,0,,,,,
2610018G03Rik,5.96094,,,,,
2610019E17Rik,28.4298,,,,,
2610019F03Rik,3.65524,,,,,
2610020C07Rik,0,,,,,
2610020H08Rik,1.5835,,,,,
2610027K06Rik,0,,,,,
2610028E06Rik,0.045351,,,,,
2610028H24Rik,0,,,,,
2610034B18Rik,0.6697,,,,,
2610034M16Rik,0.019068,,,,,
2610035D17Rik,0.161377,,,,,
2610035F20Rik,4.57984,,,,,
2610037D02Rik,0.0662778,,,,,
2610044O15Rik8,3.26021,,,,,
2610100L16Rik,0,,,,,
2610203C20Rik,0.0319073,,,,,
2610203C22Rik,0,,,,,
2610204G22Rik,0.16048,,,,,
2610206C17Rik,0.300658,,,,,
2610301B20Rik,6.78981,,,,,
2610301G19Rik,16.8941,,,,,
2610305D13Rik,47.812,,,,,
2610306M01Rik,2.01368,,,,,
2610307P16Rik,0.222612,,,,,
2610316D01Rik,0,,,,,
2610318N02Rik,27.246,,,,,
2610507B11Rik,42.8591,,,,,
2610507I01Rik,0.140195,,,,,
2610524H06Rik,16.7462,,,,,
2610528A11Rik,0,,,,,
2610528J11Rik,3.2614,,,,,
2700029M09Rik,43.6783,,,,,
2700038G22Rik,5.99597,,,,,
2700046A07Rik,0,,,,,
2700046G09Rik,0.0527668,,,,,
2700049A03Rik,7.28208,,,,,
2700050L05Rik,9.78849,,,,,
2700054A10Rik,0.0756238,,,,,
2700060E02Rik,59.0495,,,,,
2700062C07Rik,12.0196,,,,,
2700069I18Rik,0,,,,,
2700070H01Rik,0.0245825,,,,,
2700081L22Rik,0,,,,,
2700081O15Rik,2.89934,,,,,
2700086A05Rik,0,,,,,
2700089E24Rik,4.89036,,,,,
2700089I24Rik,0,,,,,
2700094K13Rik,280.215,,,,,
2700097O09Rik,18.0377,,,,,
2700099C18Rik,4.19132,,,,,
2810001G20Rik,4.0909,,,,,
2810002D19Rik,2.40371,,,,,
2810004N23Rik,110.777,,,,,
2810006K23Rik,6.26869,,,,,
2810007J24Rik,0,,,,,
2810008D09Rik,17.5448,,,,,
2810011L19Rik,0.541214,,,,,
2810013P06Rik,4.67418,,,,,
2810021J22Rik,1.99394,,,,,
2810025M15Rik,55.5225,,,,,
2810029C07Rik,0.476398,,,,,
2810032G03Rik,0.108014,,,,,
2810047C21Rik1,0.631879,,,,,
2810049E08Rik,0,,,,,
2810055G20Rik,0,,,,,
2810403A07Rik,21.7029,,,,,
2810403D21Rik,0.0948603,,,,,
2810404M03Rik,0,,,,,
2810405F15Rik,0,,,,,
2810407C02Rik,41.3605,,,,,
2810408A11Rik,2.06317,,,,,
2810408I11Rik,12.4984,,,,,
2810408M09Rik,14.292,,,,,
2810410L24Rik,0.353107,,,,,
2810417H13Rik,45.1988,,,,,
2810428I15Rik,55.7201,,,,,
2810429I04Rik,2.40559,,,,,
2810433D01Rik,0,,,,,
2810442I21Rik,0.0387275,,,,,
2810442N19Rik,0,,,,,
2810454H06Rik,0.130033,,,,,
2810459M11Rik,0.59364,,,,,
2810468N07Rik,0.463873,,,,,
2810471M01Rik,0,,,,,
2810474O19Rik,41.3093,,,,,
2900002K06Rik,0,,,,,
2900005J15Rik,0.0414344,,,,,
2900008C10Rik,0,,,,,
2900009J06Rik,1.91827,,,,,
2900011O08Rik,7.34358,,,,,
2900026A02Rik,2.5186,,,,,
2900041M22Rik,1.69726,,,,,
2900052N01Rik,0,,,,,
2900055J20Rik,0.0729634,,,,,
2900056M20Rik,1.424,,,,,
2900057B20Rik,0.0467846,,,,,
2900060B14Rik,0.0971429,,,,,
2900076A07Rik,1.28727,,,,,
2900079G21Rik,0.0482981,,,,,
2900092C05Rik,0,,,,,
2900092D14Rik,0,,,,,
2900093L17Rik,0,,,,,
2900097C17Rik,16.6739,,,,,
3000002C10Rik,0.176659,,,,,
3010001F23Rik,0,,,,,
3010026O09Rik,7.26057,,,,,
3100003L05Rik,0,,,,,
3110001D03Rik,51.7657,,,,,
3110001I22Rik,10.4287,,,,,
3110002H16Rik,9.88026,,,,,
3110007F17Rik,0.106181,,,,,
3110009E18Rik,9.05135,,,,,
3110009F21Rik,0,,,,,
3110015C05Rik,0,,,,,
3110021A11Rik,0.122721,,,,,
3110021N24Rik,0,,,,,
3110035E14Rik,0,,,,,
3110039I08Rik,0,,,,,
3110039M20Rik,0,,,,,
3110040N11Rik,14.3275,,,,,
